,Descargá este archivo para editar haciendo click en Archivo/Descargar/Descargar como Excel,Lista de Precios,,,,Coef.costo,"0,63000",,Bonficacion General,"30,00 %"
,,,,,,Aumento,,,Descuento de Caja,"10,00 %"
,,Cotizador General,,,,Margen,,,IVA,
,,,,,,Coef./vta,"1,00000",,Descuento Extra,
,,1 de abril de 2026,,,,COTIZADOR,,,Total,"0,00"
Cód.,Rubro,Detalle Patron,Detalle Artículo,Precio,,Dto Extra,Costo,Venta,Cant.,SubTotal
0423/B5-CR,A06 FV,MONOCOMANDO COCINA,PUELO ALTO,"122566,6",,,"77216,96","77.216,96",,"0,00"
0411.04/D8-CR,A06 FV,MONOCOMANDO LUJO,COCINA MESADA,"552646,28",,,"348167,16","348.167,16",,"0,00"
0411.04/D8E-CR,A06 FV,MONOCOMANDO LUJO,COCINA MESADA,"951848,93",,,"599664,83","599.664,83",,"0,00"
0411.04/D8-NG,A06 FV,MONOCOMANDO LUJO,COCINA MESADA NEGRO,"607911,04",,,"382983,96","382.983,96",,"0,00"
0411/87-CR,A06 FV,MONOCOMANDO LUJO,COCINA MESADA,"805894,14",,,"507713,31","507.713,31",,"0,00"
0411/H1-CR,A06 FV,MONOCOMANDO LUJO,COCINA MESADA,"834700,32",,,"525861,20","525.861,20",,"0,00"
0411/H1-RG,A06 FV,MONOCOMANDO LUJO,COCINA MESADA ROSA,"1109743,51",,,"699138,41","699.138,41",,"0,00"
0412/96-CR,A06 FV,MONOCOMANDO LUJO,COCINA AUGUSTA,"1420949,63",,,"895198,27","895.198,27",,"0,00"
0416/62L-CR,A06 FV,MONOCOMANDO LUJO,COCINA PICO MOVIL MARGOT,"298809,24",,,"188249,82","188.249,82",,"0,00"
0416/64-CR,A06 FV,MONOCOMANDO LUJO,COCINA MESADA DENISSE,"175661,18",,,"110666,54","110.666,54",,"0,00"
0424/99-CR,A06 FV,MONOCOMANDO LUJO,COCINA,"1156396,51",,,"728529,80","728.529,80",,"0,00"
0424/99-ST,A06 FV,MONOCOMANDO LUJO,COCINA,"744990,52",,,"469344,03","469.344,03",,"0,00"
0428/39-CR,A06 FV,MONOCOMANDO LUJO,MESADA COCINA PICO MÓVIL,"527958,53",,,"332613,87","332.613,87",,"0,00"
0100/49.1-D5,A06 FV,O´RINGS FV,8X24 P/CABEZAL LUJO L.15,"618,18",,,"389,45","389,45",,"0,00"
0100/49.7-D,A06 FV,O´RINGS FV,38X2 P/PICO HIDROMASAJE 11.02,"1002,99",,,"631,88","631,88",,"0,00"
0103/15.11-D,A06 FV,O´RINGS FV,"16,59 X 1,78 P/CAB. CORTO L.15","618,18",,,"389,45","389,45",,"0,00"
0103/15.6-D,A06 FV,O´RINGS FV,"1143 X 1,7 P/CAB. CORTO L.15","409,09",,,"257,73","257,73",,"0,00"
0103/40.6-B5,A06 FV,O´RINGS FV,12X2 P/CAB. HEXAGONAL 5U,"4727,87",,,"2978,56","2.978,56",,"0,00"
0103/40.6-D5,A06 FV,O´RINGS FV,12X2 P/CAB. HEXAGONAL 5U,"618,18",,,"389,45","389,45",,"0,00"
0103/41.11-D,A06 FV,O´RINGS FV,"DE GOMA 18,77X178 P/CAB STD.","712,68",,,"448,99","448,99",,"0,00"
0103/41.5-D,A06 FV,O´RINGS FV,"6,07X1,78 P/CABEZAL CERAM","618,18",,,"389,45","389,45",,"0,00"
0103/49.11-D5,A06 FV,O´RINGS FV,15X2 P/CABEZAL TR. LUJO Y L.15,"618,18",,,"389,45","389,45",,"0,00"
0103/87.6-D,A06 FV,O´RINGS FV,P/ROSETA PICO SALIDA L59 Y 59L,"1767,92",,,"1113,79","1.113,79",,"0,00"
0104.6-D,A06 FV,O´RINGS FV,P/FILTRO 24X2 THERMOMIX,"12248,29",,,"7716,42","7.716,42",,"0,00"
0104.9-D,A06 FV,O´RINGS FV,P/CARTUCHO 27X2,"7832,43",,,"4934,43","4.934,43",,"0,00"
0106.02/94.5-D1,A06 FV,O´RINGS FV,P/VASTAGO TRANSF 106.02 10U,"618,18",,,"389,45","389,45",,"0,00"
0106.23-D,A06 FV,O´RINGS FV,14X2 CABEZAL TRANSF UNIMIX 106,"847,28",,,"533,79","533,79",,"0,00"
0119.35-D10,A06 FV,O´RINGS FV,P/FLEXIBLE SWING,"1049,98",,,"661,49","661,49",,"0,00"
0119.44.7-D10,A06 FV,O´RINGS FV,P/BUJE OBTURADOR DUCHAMATIC,312,,,"196,56","196,56",,"0,00"
0180/50.6.R,A06 FV,O´RINGS FV,"30X4,5 P/LLAVE LATERAL 0418","2375,53",,,"1496,58","1.496,58",,"0,00"
0181.6-D,A06 FV,O´RINGS FV,36.17 X 2.62 P/SWING,"1841,3",,,"1160,02","1.160,02",,"0,00"
0181.7-D,A06 FV,O´RINGS FV,GOMA INFERIOR SWING,"1888,85",,,"1189,98","1.189,98",,"0,00"
0181/87.5-D,A06 FV,O´RINGS FV,ADAPTADOR P/CARTUCHO 0181/87,"1227,34",,,"773,22","773,22",,"0,00"
0181/92.21.R,A06 FV,O´RINGS FV,"7,65X1,78 P/FLEX CONEXIÓN L.92","968,16",,,"609,94","609,94",,"0,00"
0188/75.11-D,A06 FV,O´RINGS FV,"DE GOMA 41X4,5","2726,59",,,"1717,75","1.717,75",,"0,00"
0201/46.3.R,A06 FV,O´RINGS FV,"9,19X2,62 P/PIEZA T PICO LAV","1720,93",,,"1084,19","1.084,19",,"0,00"
0201/68.11-D50,A06 FV,O´RINGS FV,"10,82X1,78","920,65",,,"580,01","580,01",,"0,00"
0204/42.5-D,A06 FV,O´RINGS FV,"13,11X2,62 P/0363-64-74-75","488,31",,,"307,64","307,64",,"0,00"
0204/42.7-D,A06 FV,O´RINGS FV,35X2 P/0189/87-39,"765,47",,,"482,25","482,25",,"0,00"
0206/87.7-D,A06 FV,O´RINGS FV,Y SELLO TAPA P/0206/87,"1538,33",,,"969,15","969,15",,"0,00"
0207/15.10-D,A06 FV,O´RINGS FV,"P/PIEZA ""T"" LAV. L.15-16","1767,92",,,"1113,79","1.113,79",,"0,00"
0207/39.12-D,A06 FV,O´RINGS FV,"47,29X2,62 P/ROSETA 39-59-L","3064,44",,,"1930,60","1.930,60",,"0,00"
0207/49.11-D10,A06 FV,O´RINGS FV,20X1 P/BOQUILLA LAV. L.49,"765,47",,,"482,25","482,25",,"0,00"
0210.12-D,A06 FV,O´RINGS FV,"DE GOMA 24X16X5 P/SELLO ""T""","1259,04",,,"793,20","793,20",,"0,00"
0210.25-D,A06 FV,O´RINGS FV,DE GOMA 14X15 P/CAB CER 3/4,"441,31",,,"278,03","278,03",,"0,00"
0246.15A-D10,A06 FV,O´RINGS FV,"DE GOMA 46,5X6 SOPAPA 0246","1538,33",,,"969,15","969,15",,"0,00"
0294/49.18-D5,A06 FV,O´RINGS FV,"11X2,4 P/LLAVE ESCLUSA","739,03",,,"465,59","465,59",,"0,00"
0365.H549.R,A06 FV,O´RINGS FV,LLAVE PASO P/VAL SLOAN 0365,"1361,99",,,"858,05","858,05",,"0,00"
0365.H553.R,A06 FV,O´RINGS FV,DE CUERPO PPAL VAL. SLOAN 0365,"4107,56",,,"2587,76","2.587,76",,"0,00"
0366.44-D,A06 FV,O´RINGS FV,"P/CAPUCHON 37,82 X 1,78 P/0366","1232,64",,,"776,56","776,56",,"0,00"
0367.17.0-B,A06 FV,O´RINGS FV,RETENES P/ART 0368.01,"12639,47",,,"7962,87","7.962,87",,"0,00"
0367.37-D,A06 FV,O´RINGS FV,P/TUBO VALV. 0368.01,"3579,13",,,"2254,85","2.254,85",,"0,00"
0403.8-D5,A06 FV,O´RINGS FV,"15,54 X 2,62 P/PICO LAV. L.46","488,31",,,"307,64","307,64",,"0,00"
0403/24.21-D,A06 FV,O´RINGS FV,P/PICO LAV. L.24,"1096,97",,,"691,09","691,09",,"0,00"
0406.9.R,A06 FV,O´RINGS FV,"20X2,5 P/INSERTO PICO HIDRO","1232,64",,,"776,56","776,56",,"0,00"
0406/B1.6-D2,A06 FV,O´RINGS FV,P/JUEGO 0406/B1,"2876,01",,,"1811,89","1.811,89",,"0,00"
0411.03.18-D20,A06 FV,O´RINGS FV,"28,24X2,62 PICO 0103 Y 0203","739,03",,,"465,59","465,59",,"0,00"
0411.04/87.10-D,A06 FV,O´RINGS FV,"13,94X2,62 PICO 0411.04","968,16",,,"609,94","609,94",,"0,00"
0411.11-D,A06 FV,O´RINGS FV,"42X3,5 UNIMIX 0411","1259,04",,,"793,20","793,20",,"0,00"
0411.9-D,A06 FV,O´RINGS FV,"47,2X3,5 P/PICO UNIMIX","1232,64",,,"776,56","776,56",,"0,00"
0411/87.13-D,A06 FV,O´RINGS FV,"42,45X2,62 P/0411","2146,98",,,"1352,60","1.352,60",,"0,00"
0411/87.16-D,A06 FV,O´RINGS FV,"20,30X2,62 P/POSTIZO TEMPLE","1923,65",,,"1211,90","1.211,90",,"0,00"
0411/B1.9A-D2,A06 FV,O´RINGS FV,P/MONOCOMANDO ARIZONA,"2146,98",,,"1352,60","1.352,60",,"0,00"
0411/B3.9A-D2,A06 FV,O´RINGS FV,P/MONOCOMANDO FLOW,"4066,4",,,"2561,83","2.561,83",,"0,00"
0412/96.41-D2,A06 FV,O´RINGS FV,P/0412,"2876,01",,,"1811,89","1.811,89",,"0,00"
0415.14-D5,A06 FV,O´RINGS FV,"17,8X3,1 P/DUCHAS 0120","618,18",,,"389,45","389,45",,"0,00"
0416.27.0-D5,A06 FV,O´RINGS FV,"23,2X2 P/PICO 0412","882,13",,,"555,74","555,74",,"0,00"
0416/15.6-D,A06 FV,O´RINGS FV,P/PICO COCINA MESADA 0416,"692,09",,,"436,02","436,02",,"0,00"
0418/40.6-D5,A06 FV,O´RINGS FV,"21,80X2,62 PICOS 0418","618,18",,,"389,45","389,45",,"0,00"
0420.7-D5,A06 FV,O´RINGS FV,"15,5X3 P/PICO SIN BUJE SOLDADO 0415","488,31",,,"307,64","307,64",,"0,00"
0446/87.6-D,A06 FV,O´RINGS FV,P/ROSETA BRAZO DUCHA 59 Y 59L,"1767,92",,,"1113,79","1.113,79",,"0,00"
0489/46.6-D,A06 FV,O´RINGS FV,"GOMA P/BUJE C/BORDE 16,29X2,19","753,31",,,"474,59","474,59",,"0,00"
0347.11.0-D-N,A06 FV,PEDAL FV,SIN TOPES P/0347,"40972,3",,,"25812,55","25.812,55",,"0,00"
0103/15.17.0-R-,A06 FV,PICOS FV,P/ART 0400 Y 103 L.15-16-61,"28915,64",,,"18216,85","18.216,85",,"0,00"
0103/17.17.0-R-,A06 FV,PICOS FV,BAÑERA 1/2 CR L. 16-17-18,54193,,,"34141,59","34.141,59",,"0,00"
0103/20.17-R-CR,A06 FV,PICOS FV,SALIDA BANERA P/L.20-25-75,"26556,99",,,"16730,90","16.730,90",,"0,00"
0103/24.17B-D-C,A06 FV,PICOS FV,BAÑERA L. B2-E2-24-27 ROSCA H,"21642,25",,,"13634,62","13.634,62",,"0,00"
0103/24.17-D-CR,A06 FV,PICOS FV,BAÑERA L. A1P-B1-E1 ROSCA M,"21642,25",,,"13634,62","13.634,62",,"0,00"
0103/28.17-R-CR,A06 FV,PICOS FV,SALIDA BANERA P/L.28,"99665,11",,,"62789,02","62.789,02",,"0,00"
0103/42.17.0-R-,A06 FV,PICOS FV,BANERA C/BOQUILLA L.64 Y 72,"100809,06",,,"63509,71","63.509,71",,"0,00"
0103/46.17.0-R-,A06 FV,PICOS FV,BANERA C/BOQUILLA L.46-47-86,"216058,79",,,"136117,04","136.117,04",,"0,00"
0103/49.17.0-R-,A06 FV,PICOS FV,BANERA C/BOQUILLA L.49,"213577,67",,,"134553,93","134.553,93",,"0,00"
0103/62.17.0-R-,A06 FV,PICOS FV,BANERA C/BOQUILLA L.62,"40925,32",,,"25782,95","25.782,95",,"0,00"
0103/83.17.0-R-,A06 FV,PICOS FV,BANERA C/BOQUILLA L.83,"173697,06",,,"109429,15","109.429,15",,"0,00"
0103/84.17.0-R-,A06 FV,PICOS FV,BANERA C/BOQUILLA L.84,"125640,88",,,"79153,75","79.153,75",,"0,00"
0103/87.17.0-R-,A06 FV,PICOS FV,BANERA C/BOQUILLA L.87 Y 88,"114280,5",,,"71996,72","71.996,72",,"0,00"
0103/N2.17.0RCR,A06 FV,PICOS FV,REP.PICO SALIDA ARMADO CIPRES,"48831,14",,,"30763,62","30.763,62",,"0,00"
0103R/85.17.0-D,A06 FV,PICOS FV,BANERA C/BOQ L.85 MODELO NUEVO,"142354,15",,,"89683,11","89.683,11",,"0,00"
0106/D8.17.0-R-,A06 FV,PICOS FV,BANERA C/BOQUILLA L.D8,"85183,27",,,"53665,46","53.665,46",,"0,00"
0115.17.25.0-D-,A06 FV,PICOS FV,CON CAMBIADOR PARA JUEGOS 216,"106786,47",,,"67275,48","67.275,48",,"0,00"
0115/85.17.0-D-,A06 FV,PICOS FV,CON CAMBIADOR P/JUEGOS 216/85,"230855,79",,,"145439,15","145.439,15",,"0,00"
0203/28.1.0-R-C,A06 FV,PICOS FV,LAV. ARMADO PARED P/ L.28 CR,"130973,18",,,"82513,10","82.513,10",,"0,00"
0203/39.1.1.0-D,A06 FV,PICOS FV,LAV. PARED P/L39,"137188,66",,,"86428,86","86.428,86",,"0,00"
0203/49.1.0-R-C,A06 FV,PICOS FV,LAV. COMP A SOPAPA L.49-49L,"286168,98",,,"180286,46","180.286,46",,"0,00"
0203/59.1.0-R-C,A06 FV,PICOS FV,LAV. COMP A SOPAPA L. 57,"203299,49",,,"128078,68","128.078,68",,"0,00"
0203/83.1.0-R-C,A06 FV,PICOS FV,LAV. ARMADO DE PARED P/L.46-47,"187076,64",,,"117858,28","117.858,28",,"0,00"
0203/85.1.0-R-C,A06 FV,PICOS FV,LAV. ARMADO DE PARED P/L.85,"286168,98",,,"180286,46","180.286,46",,"0,00"
0203/L2.1.0-R-C,A06 FV,PICOS FV,REPUESTO PICO LAV. PARED L2,"155190,53",,,"97770,03","97.770,03",,"0,00"
0205/87.1.0-R-C,A06 FV,PICOS FV,LAV. ARMADO DE PARED P/L.87,"112440,25",,,"70837,36","70.837,36",,"0,00"
0206/39.2.0-RCR,A06 FV,PICOS FV,REPUESTO PICO ARMADO L39,"112421,92",,,"70825,81","70.825,81",,"0,00"
0207/15.1A.0-R-,A06 FV,PICOS FV,LAV.ARMADO P/L.15-16 MOD.NUEVO,"75863,75",,,"47794,16","47.794,16",,"0,00"
0207/17.1.0-R-C,A06 FV,PICOS FV,LAV. ARMADO P/L.17,"111960,38",,,"70535,04","70.535,04",,"0,00"
0207/24.1.0-D-C,A06 FV,PICOS FV,"LAV ARMADO P/ L. 24, 27","77900,91",,,"49077,57","49.077,57",,"0,00"
0207/28.1.0-R-C,A06 FV,PICOS FV,P/LAV. ARMADO COMP L.28,"220448,26",,,"138882,40","138.882,40",,"0,00"
0207/39.1.1.0-D,A06 FV,PICOS FV,LAV. ARMADO COMP L.39,"127775,17",,,"80498,36","80.498,36",,"0,00"
0207/42.1.0.R-C,A06 FV,PICOS FV,"LAV. ARMADO COMP L.42,72","163295,86",,,"102876,39","102.876,39",,"0,00"
0207/46.1.0-R-C,A06 FV,PICOS FV,LAV. ARMADO COMP L.46-47 CROMO,"309597,1",,,"195046,17","195.046,17",,"0,00"
0207/46.1.0-R-P,A06 FV,PICOS FV,LAV ARMADO COMP L.46-47 PELTRE,"398043,32",,,"250767,29","250.767,29",,"0,00"
0207/49.1.0-R-C,A06 FV,PICOS FV,LAV. COMP A SOPAPA L.49 -49L,"249145,88",,,"156961,90","156.961,90",,"0,00"
0207/57.1.0-R-C,A06 FV,PICOS FV,LAV. COMP A SOPAPA L.57,"146281,7",,,"92157,47","92.157,47",,"0,00"
0207/59.1.0-R-C,A06 FV,PICOS FV,LAV. A SOPAPA COMP L.59,"249145,88",,,"156961,90","156.961,90",,"0,00"
0207/62.1.0-R-C,A06 FV,PICOS FV,LAV. A SOPAPA COMP L.62,"90739,93",,,"57166,16","57.166,16",,"0,00"
0207/64.1.0-R-C,A06 FV,PICOS FV,LAV. A SOPAPA COMP L.64,"135301,41",,,"85239,89","85.239,89",,"0,00"
0207/84.1.0-R-C,A06 FV,PICOS FV,LAV. A SOPAPA COMP L.84,"197308,37",,,"124304,27","124.304,27",,"0,00"
0207/84.1.0-R-P,A06 FV,PICOS FV,LAV. A SOPAPA COMP L.84 PO,"231335,64",,,"145741,45","145.741,45",,"0,00"
0207/85.1.0-D-C,A06 FV,PICOS FV,LAV. A SOPAPA COMP L.85,"256292,56",,,"161464,31","161.464,31",,"0,00"
0207/87.1.0-R-C,A06 FV,PICOS FV,LAV. A SOPAPA COMP L.87,"278992,2",,,"175765,09","175.765,09",,"0,00"
0207/B1P.1.0-R-,A06 FV,PICOS FV,P/LAV. C/BOQUILLA P/ L.B1P,"67872,95",,,"42759,96","42.759,96",,"0,00"
0207/B2.1.0-R-C,A06 FV,PICOS FV,P/LAV. C/BOQUILLA P/ L.B2P-24,"70278,07",,,"44275,18","44.275,18",,"0,00"
0207/L2.1.0-R-C,A06 FV,PICOS FV,REPUESTO PICO LAV. L2 EPUYEN,"125099,78",,,"78812,86","78.812,86",,"0,00"
0207/M3.1.0-RCR,A06 FV,PICOS FV,REPUESTO PICO LAVATORIO ARMADO,"58211,89",,,"36673,49","36.673,49",,"0,00"
0210/46.1.0-R-C,A06 FV,PICOS FV,COMP P/HIDROMSAJE L.46-47,"313014,19",,,"197198,94","197.198,94",,"0,00"
0401/15.17.0-R-,A06 FV,PICOS FV,P/LAV. C/BOQUILLA P/ L.17,"35651,09",,,"22460,19","22.460,19",,"0,00"
0401/B1.1.0-R-C,A06 FV,PICOS FV,SALIDA LAVADERO P/MANG ARMADO,"35030,28",,,"22069,08","22.069,08",,"0,00"
0403.02.1.0-D-C,A06 FV,PICOS FV,COCINA CORTO 150 COMP P/0406,"56112,96",,,"35351,16","35.351,16",,"0,00"
0403/24.3A.0-D-,A06 FV,PICOS FV,COCINA PARED 403/B1P-B2B-B6-C7,"42609,86",,,"26844,21","26.844,21",,"0,00"
0406/92.2.0-D-C,A06 FV,PICOS FV,COCINA COMP L.15-17,"40575,85",,,"25562,79","25.562,79",,"0,00"
0406/B1.2.0-D-C,A06 FV,PICOS FV,COCINA COMPLETO P/ 0406/B1,"48295,84",,,"30426,38","30.426,38",,"0,00"
0409.02.2.0-D-C,A06 FV,PICOS FV,COC PAR CORTO 150 COMP 0409.02,"37996,55",,,"23937,83","23.937,83",,"0,00"
0409/15.2.0-D-C,A06 FV,PICOS FV,COC EXT L. 15-17,"41927,8",,,"26414,51","26.414,51",,"0,00"
0409/E1.2.0-D-C,A06 FV,PICOS FV,COCINA CORTO 150MM P/B1P-B6,"42001,18",,,"26460,74","26.460,74",,"0,00"
0413/24.2.0-D-C,A06 FV,PICOS FV,COCINA P/L. A1P-B2P-C7,"32055,57",,,"20195,01","20.195,01",,"0,00"
0413/B1.2.0-R-C,A06 FV,PICOS FV,COCINA P/L. B1P CROMO,"31108,52",,,"19598,37","19.598,37",,"0,00"
0416/15.2.0-D-C,A06 FV,PICOS FV,MOVIL P/MESADA COCINA,"50718,37",,,"31952,57","31.952,57",,"0,00"
0416/15.2.1-D-C,A06 FV,PICOS FV,P/VOLANTE-57 CROMO,"47017,27",,,"29620,88","29.620,88",,"0,00"
0416/64.2.0-R-C,A06 FV,PICOS FV,PICO P/COCINA 0416/64,"127775,17",,,"80498,36","80.498,36",,"0,00"
0423/64.2.0-R-C,A06 FV,PICOS FV,ARMADA P/JUEGOS 0423,"84965,25",,,"53528,11","53.528,11",,"0,00"
0428/18.2.1.0-R,A06 FV,PICOS FV,ARMADA P/JUEGOS 0428,"91965,71",,,"57938,40","57.938,40",,"0,00"
0206.2C.0.E-D,A06 FV,PIEZAS T FV,LARGA MET. P/LAV. S/O'RING 30C,"15365,54",,,"9680,29","9.680,29",,"0,00"
0206.2C.0-D,A06 FV,PIEZAS T FV,CORTA MET. P/LAV. S/ORING 18CM,"24170,36",,,"15227,33","15.227,33",,"0,00"
0206/24.2.0-D,A06 FV,PIEZAS T FV,LARGA PLAST P/LAV.C/ORING 30CM,"17731,58",,,"11170,90","11.170,90",,"0,00"
0207/24.2.0-D,A06 FV,PIEZAS T FV,CORTA PLAST P/LAV.C/ORING 18CM,"14135,54",,,"8905,39","8.905,39",,"0,00"
0207/A1.2-D,A06 FV,PIEZAS T FV,CORTA PLAST P/L. A1-B1-B2 18CM,"4987,06",,,"3141,85","3.141,85",,"0,00"
0210.8.0-D,A06 FV,PIEZAS T FV,P/BANERA HIDROMASAJE,"18017,18",,,"11350,82","11.350,82",,"0,00"
0342.20.0-D,A06 FV,PISTONES FV,TIPO “Y” EJE P/ART 0342 y 0344,"20212,7",,,"12734,00","12.734,00",,"0,00"
0343.20.0-D,A06 FV,PISTONES FV,DE 40 SEGUNDOS PARA DUCHA 0343,"50718,37",,,"31952,57","31.952,57",,"0,00"
0345.24.0-D,A06 FV,PISTONES FV,PARA VALVULA 345 Y 346,"14479,71",,,"9122,22","9.122,22",,"0,00"
0360.20.0-B,A06 FV,PISTONES FV,COMPLETO P/PRESSMATIC C/ORING,"18584,13",,,"11708,00","11.708,00",,"0,00"
0361.01.20.0-B,A06 FV,PISTONES FV,COMP P/PRESSMATIC LUJO C/ORING,"21430,04",,,"13500,93","13.500,93",,"0,00"
0365.CR60AC.R,A06 FV,PISTONES FV,COMPL. P/ VALV.SLOAN ART. 0365,"477828,83",,,"301032,16","301.032,16",,"0,00"
0367.7.0-B,A06 FV,PISTONES FV,COMPLETO C/GRAMPA P/0368.01,"20868,35",,,"13147,06","13.147,06",,"0,00"
0372.20.0-B,A06 FV,PISTONES FV,COMPLETO P/ VALVULA ECOMATIC,"24596,38",,,"15495,72","15.495,72",,"0,00"
0364.14A-D,A06 FV,PORTA PILAS FV,P/ART 0363-0364-0366-0374-0375,"11410,53",,,"7188,63","7.188,63",,"0,00"
0103/85.19-D,A06 FV,PORTA ROSETAS FV,PARA CAMPANA L.85 85L,"11410,53",,,"7188,63","7.188,63",,"0,00"
0103/N2.15.0-D3,A06 FV,PORTA ROSETAS FV,P/CAMPANAS L. L2 TRAD. Y N2,"10349,45",,,"6520,15","6.520,15",,"0,00"
0169/15.1B-D,A06 FV,PORTA VASO FV,"P/ L.15,31 Y B2","13168,96",,,"8296,44","8.296,44",,"0,00"
0207/L2.22A.03D,A06 FV,PROLONGACION FV,PARA  L. L2 TRADICIONAL Y N2,"31662,7",,,"19947,50","19.947,50",,"0,00"
0454-13.19-C,A06 FV,PROLONGACION FV,DE 13MM X 19MM CROMADA,"6514,94",,,"4104,41","4.104,41",,"0,00"
0454-13.25-C,A06 FV,PROLONGACION FV,DE 13MM X 25MM CROMADA,"7932,35",,,"4997,38","4.997,38",,"0,00"
0454-13.32-C,A06 FV,PROLONGACION FV,DE 13MM X 32MM CROMADA,"8107,83",,,"5107,93","5.107,93",,"0,00"
0454-13.38-C,A06 FV,PROLONGACION FV,DE 13MM X 38MM CROMADA,"8613,88",,,"5426,74","5.426,74",,"0,00"
0454-13.50-C,A06 FV,PROLONGACION FV,DE 13MM X 50MM CROMADA,"10111,01",,,"6369,94","6.369,94",,"0,00"
0103/49.15-D,A06 FV,PROLONGADORES FV,PARA VASTAGOS 0103/49 Y 49L,"13648,29",,,"8598,42","8.598,42",,"0,00"
0103/49.18-D,A06 FV,PROLONGADORES FV,P/VOLANTES JUEGOS EMB 49 Y 49L,"10111,37",,,"6370,16","6.370,16",,"0,00"
0103/59.15.0-D-,A06 FV,PROLONGADORES FV,NIQUELADO P/J.EMB. 59 Y 59L,"9502,17",,,"5986,37","5.986,37",,"0,00"
0103/87.15.0-D,A06 FV,PROLONGADORES FV,ARMADO C/TORNILLO P/ VOL. 87,"8549,84",,,"5386,40","5.386,40",,"0,00"
0201/85.15-D,A06 FV,PROLONGADORES FV,ARMADO S/TORNILLO P/ VOL. 85,"10637,68",,,"6701,74","6.701,74",,"0,00"
0201/87.15.0DCR,A06 FV,PROLONGADORES FV,PED.ESP.PROLONGADOR CROMADO CT,"7433,31",,,"4682,99","4.682,99",,"0,00"
0207/49.18.0-D,A06 FV,PROLONGADORES FV,ARMADO C/TOR. P/0207-10-13-0295/49,"11640,69",,,"7333,63","7.333,63",,"0,00"
0207/59.15.0-D-,A06 FV,PROLONGADORES FV,ARMADO C/TORNILLO P/59 Y 59L.,"13248,13",,,"8346,32","8.346,32",,"0,00"
0403/60.6A-D,A06 FV,PROLONGADORES FV,P/PICO LAV.P. L.17-18-28-D5-D7,"9982,03",,,"6288,68","6.288,68",,"0,00"
0403/60.6-D,A06 FV,PROLONGADORES FV,P/PICO COCINA 0403-.02-.03,"7961,77",,,"5015,92","5.015,92",,"0,00"
0412.01.21.0-D,A06 FV,PUENTE FV,DE FIJACION PARA SWING PLUS,"7864,63",,,"4954,72","4.954,72",,"0,00"
0203/49.24-D,A06 FV,REDUCCIONES FV,PARA PICO 0203/49 Y 49L,"11640,69",,,"7333,63","7.333,63",,"0,00"
0246/15.21-D,A06 FV,REDUCCIONES FV,PARA SOPAPA 246.01,"1361,99",,,"858,05","858,05",,"0,00"
0160.1-R,A06 FV,REPISAS FV,"PARA LINEAS 42,45,72,82","70089,6",,,"44156,45","44.156,45",,"0,00"
0106.02.20-D,A06 FV,RESORTES FV,"P/TRANSF.0106.02, 0112 Y 0310","1132,89",,,"713,72","713,72",,"0,00"
0112/15.6-D,A06 FV,RESORTES FV,"P/JUEGOS 0106, 0106.02 Y 0112","1049,98",,,"661,49","661,49",,"0,00"
0245.7-D,A06 FV,RESORTES FV,PARA BOTON BEBERDERO,"3808,23",,,"2399,18","2.399,18",,"0,00"
0342.18.0-D,A06 FV,RESORTES FV,"Y GUI ART. 0342, 0343 Y 0344","1694,55",,,"1067,57","1.067,57",,"0,00"
0367.14.0-B,A06 FV,RESORTES FV,C/MANIJA REGUL. CAUDAL 0368.01,"11769,49",,,"7414,78","7.414,78",,"0,00"
0412/96.15-D,A06 FV,RESORTES FV,RESORTE 1700 MM P/ L.AUGUSTA,"57480,21",,,"36212,53","36.212,53",,"0,00"
0801.6G-D,A06 FV,RESORTES FV,P/LLAVE GAS MODELO ACT 13-19MM,"2146,98",,,"1352,60","1.352,60",,"0,00"
0360.3-B,A06 FV,RESTRICTORES FV,DE CAUDAL PARA PRESSMATIC,"4066,4",,,"2561,83","2.561,83",,"0,00"
0371.27-D,A06 FV,RESTRICTORES FV,DE CAUDAL PARA ECOMATIC,"7915,31",,,"4986,65","4.986,65",,"0,00"
0103/41.48-D10,A06 FV,RETENES FV,DE SEG. P/CABEZAS LUJO Y CER.,"2049,82",,,"1291,39","1.291,39",,"0,00"
0106.02/94.8A-D,A06 FV,RETENES FV,P/JUEGOS MONOCOMNADO DE EMB,"4134,01",,,"2604,43","2.604,43",,"0,00"
0360.9-D5,A06 FV,RETENES FV,CIERRE P/EJE PRESSMATIC,"8259,5",,,"5203,49","5.203,49",,"0,00"
0361.01.9.0-D,A06 FV,RETENES FV,CIERRE P/EJE PRESSMATIC LUJO,"5025,61",,,"3166,13","3.166,13",,"0,00"
0412.01.19.0-D-,A06 FV,ROCIADORES FV,P/SWING ART.0412.01/90,"95346,91",,,"60068,55","60.068,55",,"0,00"
0412.20.0-R-CR,A06 FV,ROCIADORES FV,P/TEMPLE 0412/87 MONOCOMANDO,"156610,03",,,"98664,32","98.664,32",,"0,00"
0412/96.20.0A-R,A06 FV,ROCIADORES FV,PARA AUGUSTA LINEA 96,"229909,78",,,"144843,16","144.843,16",,"0,00"
0412/H5.2.17-R-,A06 FV,ROCIADORES FV,PARA LENGA LINEA H5,"91965,71",,,"57938,40","57.938,40",,"0,00"
