,Descargá este archivo para editar haciendo click en Archivo/Descargar/Descargar como Excel,Lista de Precios,,,,Coef.costo,"0,63000",,Bonficacion General,"30,00 %"
,,,,,,Aumento,,,Descuento de Caja,"10,00 %"
,,Cotizador General,,,,Margen,,,IVA,
,,,,,,Coef./vta,"1,00000",,Descuento Extra,
,,1 de abril de 2026,,,,COTIZADOR,,,Total,"0,00"
Cód.,Rubro,Detalle Patron,Detalle Artículo,Precio,,Dto Extra,Costo,Venta,Cant.,SubTotal
96601,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CODO 87º 30' MH 160,"63197,66",,,"39814,53","39.814,53",,"0,00"
96602,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CODO 45º MH 160,"58876,36",,,"37092,11","37.092,11",,"0,00"
96604,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAMAL SIMP. 45º (MH) 160x160,"91831,63",,,"57853,93","57.853,93",,"0,00"
96606,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAMAL SIMP. 45º (MH) 160x110,"69943,39",,,"44064,34","44.064,34",,"0,00"
96609,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,MANGUITO 160,"63197,66",,,"39814,53","39.814,53",,"0,00"
96611,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CUPLA REDUCCION (MH) 160x110,"42671,31",,,"26882,93","26.882,93",,"0,00"
96612,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAM.SIMP 87º30'MH C/VE 160x110,"150648,38",,,"94908,48","94.908,48",,"0,00"
96615,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,TRNSICION C/EMBUDO 160,"50369,53",,,"31732,80","31.732,80",,"0,00"
96654,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CAÑO CAMARA M-H 160,"81570,95",,,"51389,70","51.389,70",,"0,00"
96702,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CODO 45º MH 200,"76505,8",,,"48198,65","48.198,65",,"0,00"
96710,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,MANGUITO 200,"82140,25",,,"51748,36","51.748,36",,"0,00"
96720,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CUPLA RED. M-H 200 X 160,"59602,73",,,"37549,72","37.549,72",,"0,00"
96730,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAMAL SIMPLE 45° M-H 200X160,"139477,99",,,"87871,13","87.871,13",,"0,00"
96732,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAMAL SIMPLE 45° M-H 200X200,"140859,02",,,"88741,18","88.741,18",,"0,00"
96750,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CAÑO CAMARA MH 200,"142239,81",,,"89611,08","89.611,08",,"0,00"
96760,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,TAPA MACHO Ø 58,"9699,51",,,"6110,69","6.110,69",,"0,00"
96762,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,TAPA MACHO Ø 110,"19609,96",,,"12354,27","12.354,27",,"0,00"
96764,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,TAPA MACHO 160,"28447,93",,,"17922,20","17.922,20",,"0,00"
96766,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,TAPA MACHO 200,"35573,83",,,"22411,51","22.411,51",,"0,00"
